R,Nome,Squadra
D,PAJAC,Genoa
D,ZAPATA C,Genoa
D,BASTONI,Inter
D,LUKAKU J,Lazio
D,PATRIC,Lazio
D,CALABRIA,Milan
D,CONTI,Milan
D,MUSACCHIO,Milan
D,MALCUIT,Napoli
D,FAZIO,Roma
D,BERESZYNSKI,Sampdoria
D,FERRARI A,Sampdoria
D,MURILLO,Sampdoria
D,PELUSO,Sassuolo
D,CIONEK,SPAL
D,IGOR,SPAL
D,AINA,Torino
D,BREMER,Torino
D,PEZZELLA GIU,Parma
D,SAMIR,Udinese
D,GUNTER,Verona
D,RISPOLI,Lecce
D,TOMOVIC,SPAL
D,ARANA,Atalanta
C,LERAGER,Genoa
C,LAZARO,Inter
C,BENNACER,Milan
C,ELMAS,Napoli
C,VIEIRA,Sampdoria
C,OBIANG,Sassuolo
C,VALDIFIORI,SPAL
C,LUKIC,Torino
C,BARAK,Udinese
C,MEDEL,Bologna
A,AYE',Brescia
A,SANABRIA,Genoa
A,FLOCCARI,SPAL
A,KALINIC,Roma
A,CLEONISE,Genoa
P,CRAGNO,Cagliari
P,RAFAEL,Cagliari
P,TURATI,Sassuolo
D,MBAYE,Bologna
D,LYKOGIANNIS,Cagliari
D,CECCHERINI,Fiorentina
D,BARRECA,Genoa
D,BIRASCHI,Genoa
D,DE SCIGLIO,Juventus
D,BASTOS,Lazio
D,MECCARIELLO,Lecce
D,RODRIGUEZ R,Milan
D,GHOULAM,Napoli
D,LUPERTO,Napoli
D,MARIO RUI,Napoli
D,SANTON,Roma
D,AUGELLO,Sampdoria
D,SALA,SPAL
D,FERRARI G,Sassuolo
D,FELIPE,SPAL
D,LYANCO,Torino
D,DE MAIO,Udinese
D,OPOKU,Udinese
D,TER AVEST,Udinese
D,VITALE L,Verona
D,DUARTE,Milan
D,KJAER,Atalanta
C,MOROSINI,Brescia
C,NDOJ,Brescia
C,BIRSA,Cagliari
C,SAPONARA,Genoa
C,CASSATA,Genoa
C,JAGIELLO,Genoa
C,ROVELLA,Genoa
C,BERISHA V,Lazio
C,JONY,Lazio
C,BIGLIA,Milan
C,THORSBY,Sampdoria
C,ZMRHAL,Brescia
C,WALACE,Udinese
C,LERIS,Sampdoria
C,BERTOLACCI,Sampdoria
A,SOTTIL,Fiorentina
A,PALOSCHI,SPAL
A,PEDRO,Fiorentina
P,ROSSI F,Atalanta
P,SPORTIELLO,Atalanta
P,DA COSTA,Bologna
P,SARR M,Bologna
P,ANDRENACCI,Brescia
P,ARESTI,Cagliari
P,BRANCOLINI,Fiorentina
P,CEROFOLINI,Fiorentina
P,TERRACCIANO,Fiorentina
P,JANDREI,Genoa
P,MARCHETTI,Genoa
P,VODISEK,Genoa
P,BERNI,Inter
P,PADELLI,Inter
P,PERIN,Juventus
P,PINSOGLIO,Juventus
P,GUERRIERI,Lazio
P,PROTO,Lazio
P,BLEVE,Lecce
P,VIGORITO,Lecce
P,DONNARUMMA AN,Milan
P,REINA,Milan
P,KARNEZIS,Napoli
P,COLOMBI,Parma
P,FUZATO,Roma
P,MIRANTE,Roma
P,FALCONE,Sampdoria
P,THIAM D,SPAL
P,ROSATI,Torino
P,ZACCAGNO,Torino
P,NICOLAS,Udinese
P,PERISAN,Udinese
P,BERARDI A,Verona
P,RADUNOVIC,Verona
P,ALASTRA,Parma
P,RUSSO A,Sassuolo
P,LETICA,SPAL
P,AVOGADRI,Sampdoria
P,SECULIN,Sampdoria
P,UJKANI,Torino
D,IBANEZ,Atalanta
D,OKOLI,Atalanta
D,CORBO,Bologna
D,DIJKS,Bologna
D,CURCIO,Brescia
D,GASTALDELLO,Brescia
D,MANGRAVITI,Brescia
D,SEMPRINI,Brescia
D,MATTIELLO,Cagliari
D,PINNA,Cagliari
D,WALUKIEWICZ,Cagliari
D,RANIERI L,Fiorentina
D,RASMUSSEN,Fiorentina
D,TERZIC,Fiorentina
D,VENUTI,Fiorentina
D,EL YAMIQ,Genoa
D,DIMARCO,Inter
D,RANOCCHIA,Inter
D,RUGANI,Juventus
D,CASASOLA,Lazio
D,DURMISI,Lazio
D,JORGE SILVA,Lazio
D,VAVRO,Lazio
D,BENZAR,Lecce
D,FIAMOZZI,Lecce
D,GALLO,Lecce
D,RICCARDI D,Lecce
D,VERA,Lecce
D,CALDARA,Milan
D,GABBIA,Milan
D,CHIRICHES,Sassuolo
D,HYSAJ,Napoli
D,TONELLI,Napoli
D,LAURINI,Parma
D,BIANDA,Roma
D,BOUAH,Roma
D,JUAN JESUS,Roma
D,CHABOT,Sampdoria
D,REGINI,Sampdoria
D,ADJAPONG,Verona
D,DELL'ORCO,Lecce
D,GOLDANIGA,Genoa
D,MAGNANI,Brescia
D,ROGERIO,Sassuolo
D,TRIPALDELLI,Sassuolo
D,SALAMON,SPAL
D,BUONGIORNO,Torino
D,DJIDJI,Torino
D,SIERRALTA,Udinese
D,BOCCHETTI,Verona
D,CRESCENZI,Verona
D,DAWIDOWICZ,Verona
D,EMPEREUR,Verona
D,CIPRIANO,Lazio
D,CETIN,Roma
D,ZAPPACOSTA,Roma
D,GASOLINA WESLEY,Verona
D,DONATI,Lecce
C,COLLEY E,Atalanta
C,SCHOUTEN,Bologna
C,DESSENA,Brescia
C,TREMOLADA,Brescia
C,VIVIANI M,Brescia
C,DEIOLA,Cagliari
C,CRISTOFORO,Fiorentina
C,DABO,Fiorentina
C,EYSSERIC,Fiorentina
C,MONTIEL,Fiorentina
C,ZURKOWSKI,Fiorentina
C,SANDRO,Genoa
C,ZENNARO,Genoa
C,AGOUME,Inter
C,FAGIOLI,Juventus
C,PORTANOVA,Juventus
C,ANDERSON A,Lazio
C,BORINI,Milan
C,CICIRETTI,Napoli
C,GAETANO,Napoli
C,YOUNES,Napoli
C,RICCARDI,Roma
C,BARRETO,Sampdoria
C,MARONI,Sampdoria
C,BOURABIA,Sassuolo
C,MAZZITELLI,Sassuolo
C,D'ALESSANDRO,SPAL
C,FARES,SPAL
C,JANKOVIC,SPAL
C,DE ANGELIS,Torino
C,PARIGINI,Torino
C,BADU,Verona
C,BESSA,Verona
C,DANZI,Verona
C,DI GAUDIO,Verona
C,HENDERSON L,Verona
C,LUCAS FELIPPE,Verona
C,IMBULA,Lecce
A,CAMBIAGHI,Atalanta
A,PICCOLI,Atalanta
A,JUWARA,Bologna
A,HAN,Juventus
A,THEREAU,Fiorentina
A,FAVILLI,Genoa
A,PJACA,Juventus
A,ADEKANYE,Lazio
A,LO FASO,Lecce
A,TUTINO,Verona
A,ADORANTE,Parma
A,SILIGARDI,Parma
A,ANTONUCCI,Roma
A,CANGIANO,Bologna
A,BAHLOULI,Sampdoria
A,MATRI,Brescia
A,RASPADORI,Sassuolo
A,MONCINI,SPAL
A,EDERA,Torino
A,MILLICO,Torino
A,RAUTI,Torino
A,TEODORCZYK,Udinese
A,TUPTA,Verona
A,TRAORE' AM,Atalanta
P,STRAKOSHA,Lazio
P,HANDANOVIC,Inter
P,SZCZESNY,Juventus
P,SEPE,Parma
P,DONNARUMMA G,Milan
P,PAU LOPEZ,Roma
P,MERET,Napoli
P,SIRIGU,Torino
P,BERISHA E,SPAL
P,GOLLINI,Atalanta
P,JORONEN,Brescia
P,OLSEN,Cagliari
P,MUSSO,Udinese
P,SILVESTRI,Verona
P,DRAGOWSKI,Fiorentina
P,BUFFON,Juventus
P,GABRIEL,Lecce
P,AUDERO,Sampdoria
P,CONSIGLI,Sassuolo
P,SKORUPSKI,Bologna
P,OSPINA,Napoli
P,RADU I,Genoa
P,PEGOLO,Sassuolo
P,ALFONSO,Brescia
P,CRAGNO,Cagliari
P,RAFAEL,Cagliari
P,TURATI,Sassuolo
P,ROSSI F,Atalanta
P,SPORTIELLO,Atalanta
P,DA COSTA,Bologna
P,SARR M,Bologna
P,ANDRENACCI,Brescia
P,ARESTI,Cagliari
P,BRANCOLINI,Fiorentina
P,CEROFOLINI,Fiorentina
P,TERRACCIANO,Fiorentina
P,JANDREI,Genoa
P,MARCHETTI,Genoa
P,VODISEK,Genoa
P,BERNI,Inter
P,PADELLI,Inter
P,PERIN,Juventus
P,PINSOGLIO,Juventus
P,GUERRIERI,Lazio
P,PROTO,Lazio
P,BLEVE,Lecce
P,VIGORITO,Lecce
P,DONNARUMMA AN,Milan
P,REINA,Milan
P,KARNEZIS,Napoli
P,COLOMBI,Parma
P,FUZATO,Roma
P,MIRANTE,Roma
P,FALCONE,Sampdoria
P,THIAM D,SPAL
P,ROSATI,Torino
P,ZACCAGNO,Torino
P,NICOLAS,Udinese
P,PERISAN,Udinese
P,BERARDI A,Verona
P,RADUNOVIC,Verona
P,ALASTRA,Parma
P,RUSSO A,Sassuolo
P,LETICA,SPAL
P,AVOGADRI,Sampdoria
P,SECULIN,Sampdoria
P,UJKANI,Torino
D,GOSENS,Atalanta
D,BONUCCI,Juventus
D,HERNANDEZ T,Milan
D,SMALLING,Roma
D,DE VRIJ,Inter
D,KOLAROV,Roma
D,MILENKOVIC,Fiorentina
D,ACERBI,Lazio
D,FARAONI,Verona
D,CRISCITO,Genoa
D,MANOLAS,Napoli
D,CALDERONI,Lecce
D,DI LORENZO,Napoli
D,CASTAGNE,Atalanta
D,TOLOI,Atalanta
D,GHIGLIONE,Genoa
D,SKRINIAR,Inter
D,CHIELLINI,Juventus
D,MANCINI G,Roma
D,IZZO,Torino
D,DARMIAN,Parma
D,DJIMSITI,Atalanta
D,BANI,Bologna
D,DALBERT,Fiorentina
D,D'AMBROSIO,Inter
D,GODIN,Inter
D,ROMAGNOLI A,Milan
D,IACOPONI,Parma
D,CISTANA,Brescia
D,PISACANE,Cagliari
D,BRUNO ALVES,Parma
D,GAGLIOLO,Parma
D,TOLJAN,Sassuolo
D,RRAHMANI,Verona
D,HATEBOER,Atalanta
D,DANILO LAR,Bologna
D,SABELLI,Brescia
D,CEPPITELLI,Cagliari
D,BIRAGHI,Inter
D,PEZZELLA GER,Fiorentina
D,ASAMOAH,Inter
D,ALEX SANDRO,Juventus
D,DE LIGT,Juventus
D,PELLEGRINI LU,Cagliari
D,MAKSIMOVIC,Napoli
D,SPINAZZOLA,Roma
D,DANILO,Juventus
D,CACERES,Fiorentina
D,KYRIAKOPOULOS,Sassuolo
D,CHANCELLOR,Brescia
D,ROMERO C,Genoa
D,LUIZ FELIPE,Lazio
D,RADU,Lazio
D,LUCIONI,Lecce
D,ROSSETTINI,Lecce
D,DERMAKU,Parma
D,FLORENZI,Roma
D,COLLEY,Sampdoria
D,MARLON,Sassuolo
D,VICARI,SPAL
D,STRYGER LARSEN,Udinese
D,KUMBULLA,Verona
D,TOMIYASU,Bologna
D,KLAVAN,Cagliari
D,KOULIBALY,Napoli
D,MURRU,Sampdoria
D,LIROLA,Fiorentina
D,N'KOULOU,Torino
D,NUYTINCK,Udinese
D,RODRIGO BECAO,Udinese
D,TROOST-EKONG,Udinese
D,MULDUR,Sassuolo
D,PALOMINO,Atalanta
D,ROMAGNA,Sassuolo
D,DEMIRAL,Juventus
D,DEPAOLI,Sampdoria
D,BONIFAZI,Torino
D,DE SILVESTRI,Torino
D,ANKERSEN,Genoa
D,MASIELLO A,Atalanta
D,RECA,SPAL
D,DENSWIL,Bologna
D,PAZ,Bologna
D,MARTELLA,Brescia
D,MATEJU,Brescia
D,CACCIATORE,Cagliari
D,PAJAC,Genoa
D,ZAPATA C,Genoa
D,BASTONI,Inter
D,LUKAKU J,Lazio
D,PATRIC,Lazio
D,CALABRIA,Milan
D,CONTI,Milan
D,MUSACCHIO,Milan
D,MALCUIT,Napoli
D,FAZIO,Roma
D,BERESZYNSKI,Sampdoria
D,FERRARI A,Sampdoria
D,MURILLO,Sampdoria
D,PELUSO,Sassuolo
D,CIONEK,SPAL
D,IGOR,SPAL
D,AINA,Torino
D,BREMER,Torino
D,PEZZELLA GIU,Parma
D,SAMIR,Udinese
D,GUNTER,Verona
D,RISPOLI,Lecce
D,TOMOVIC,SPAL
D,ARANA,Atalanta
D,MBAYE,Bologna
D,LYKOGIANNIS,Cagliari
D,CECCHERINI,Fiorentina
D,BARRECA,Genoa
D,BIRASCHI,Genoa
D,DE SCIGLIO,Juventus
D,BASTOS,Lazio
D,MECCARIELLO,Lecce
D,RODRIGUEZ R,Milan
D,GHOULAM,Napoli
D,LUPERTO,Napoli
D,MARIO RUI,Napoli
D,SANTON,Roma
D,AUGELLO,Sampdoria
D,SALA,SPAL
D,FERRARI G,Sassuolo
D,FELIPE,SPAL
D,LYANCO,Torino
D,DE MAIO,Udinese
D,OPOKU,Udinese
D,TER AVEST,Udinese
D,VITALE L,Verona
D,DUARTE,Milan
D,KJAER,Atalanta
D,IBANEZ,Atalanta
D,OKOLI,Atalanta
D,CORBO,Bologna
D,DIJKS,Bologna
D,CURCIO,Brescia
D,GASTALDELLO,Brescia
D,MANGRAVITI,Brescia
D,SEMPRINI,Brescia
D,MATTIELLO,Cagliari
D,PINNA,Cagliari
D,WALUKIEWICZ,Cagliari
D,RANIERI L,Fiorentina
D,RASMUSSEN,Fiorentina
D,TERZIC,Fiorentina
D,VENUTI,Fiorentina
D,EL YAMIQ,Genoa
D,DIMARCO,Inter
D,RANOCCHIA,Inter
D,RUGANI,Juventus
D,CASASOLA,Lazio
D,DURMISI,Lazio
D,JORGE SILVA,Lazio
D,VAVRO,Lazio
D,BENZAR,Lecce
D,FIAMOZZI,Lecce
D,GALLO,Lecce
D,RICCARDI D,Lecce
D,VERA,Lecce
D,CALDARA,Milan
D,GABBIA,Milan
D,CHIRICHES,Sassuolo
D,HYSAJ,Napoli
D,TONELLI,Napoli
D,LAURINI,Parma
D,BIANDA,Roma
D,BOUAH,Roma
D,JUAN JESUS,Roma
D,CHABOT,Sampdoria
D,REGINI,Sampdoria
D,ADJAPONG,Verona
D,DELL'ORCO,Lecce
D,GOLDANIGA,Genoa
D,MAGNANI,Brescia
D,ROGERIO,Sassuolo
D,TRIPALDELLI,Sassuolo
D,SALAMON,SPAL
D,BUONGIORNO,Torino
D,DJIDJI,Torino
D,SIERRALTA,Udinese
D,BOCCHETTI,Verona
D,CRESCENZI,Verona
D,DAWIDOWICZ,Verona
D,EMPEREUR,Verona
D,CIPRIANO,Lazio
D,CETIN,Roma
D,ZAPPACOSTA,Roma
D,GASOLINA WESLEY,Verona
D,DONATI,Lecce
C,GOMEZ A,Atalanta
C,LUIS ALBERTO,Lazio
C,NAINGGOLAN,Cagliari
C,KULUSEVSKI,Parma
C,RIBERY,Fiorentina
C,CASTROVILLI,Fiorentina
C,MILINKOVIC-SAVIC,Lazio
C,PJANIC,Juventus
C,PELLEGRINI LO,Roma
C,PASALIC,Atalanta
C,CHIESA,Fiorentina
C,BROZOVIC,Inter
C,CANDREVA,Inter
C,ZANIOLO,Roma
C,ANSALDI,Torino
C,PULGAR,Fiorentina
C,MKHITARYAN,Roma
C,CASTRO,Cagliari
C,MANCOSU,Lecce
C,KUCKA,Parma
C,KLUIVERT,Roma
C,BERENGUER,Torino
C,NANDEZ,Cagliari
C,SENSI,Inter
C,VERETOUT,Roma
C,RAMIREZ,Sampdoria
C,TRAORE' HJ,Sassuolo
C,TONALI,Brescia
C,BONAVENTURA,Milan
C,CALLEJON,Napoli
C,DJURICIC,Sassuolo
C,SORIANO,Bologna
C,CALHANOGLU,Milan
C,PEROTTI,Roma
C,DUNCAN,Sassuolo
C,KURTIC,SPAL
C,MIGUEL VELOSO,Verona
C,DE ROON,Atalanta
C,ROMULO,Brescia
C,BARELLA,Inter
C,FREULER,Atalanta
C,MALINOVSKYI,Atalanta
C,CIGARINI,Cagliari
C,BENTANCUR,Juventus
C,RAMSEY,Juventus
C,RUIZ,Napoli
C,DE PAUL,Udinese
C,LAZOVIC,Verona
C,PESSINA,Verona
C,ROG,Cagliari
C,GAGLIARDINI,Inter
C,LAZZARI M,Lazio
C,SUSO,Milan
C,VERRE,Verona
C,DI FRANCESCO F,SPAL
C,BASELLI,Torino
C,RINCON,Torino
C,ZACCAGNI,Verona
C,DZEMAILI,Bologna
C,POLI,Bologna
C,VECINO,Inter
C,VERDI,Torino
C,ZIELINSKI,Napoli
C,AMRABAT,Verona
C,OLIVA,Cagliari
C,CUADRADO,Juventus
C,LULIC,Lazio
C,PETRICCIONE,Lecce
C,ALLAN,Napoli
C,BARILLA',Parma
C,UNDER,Roma
C,FOFANA,Udinese
C,KREJCI,Bologna
C,STURARO,Genoa
C,DOUGLAS COSTA,Juventus
C,MATUIDI,Juventus
C,BADELJ,Fiorentina
C,SCOZZARELLA,Parma
C,CRISTANTE,Roma
C,EKDAL,Sampdoria
C,STREFEZZA,SPAL
C,SEMA,Udinese
C,BISOLI,Brescia
C,BERNARDESCHI,Juventus
C,KHEDIRA,Juventus
C,MARUSIC,Lazio
C,HERNANI,Parma
C,DIAWARA,Roma
C,PASTORE,Roma
C,JANKTO,Sampdoria
C,LINETTY,Sampdoria
C,LOCATELLI M,Sassuolo
C,VALOTI,SPAL
C,MANDRAGORA,Udinese
C,SCHONE,Genoa
C,AGUDELO,Genoa
C,SVANBERG,Bologna
C,SPALEK,Brescia
C,IONITA,Cagliari
C,BENASSI,Fiorentina
C,RADOVANOVIC,Genoa
C,CATALDI,Lazio
C,LUCAS LEIVA,Lazio
C,PAROLO,Lazio
C,MAJER,Lecce
C,SHAKHOV,Lecce
C,TABANELLI,Lecce
C,GRASSI,Parma
C,MISSIROLI,SPAL
C,MURGIA,SPAL
C,BRUGMAN,Parma
C,FARAGO',Cagliari
C,BORJA VALERO,Inter
C,CAN,Juventus
C,RABIOT,Juventus
C,TACHTSIDIS,Lecce
C,CASTILLEJO,Milan
C,KESSIE',Milan
C,KRUNIC,Milan
C,LAXALT,Torino
C,PAQUETA',Milan
C,MAGNANELLI,Sassuolo
C,MEITE',Torino
C,JAJALO,Udinese
C,GHEZZAL,Fiorentina
C,LERAGER,Genoa
C,LAZARO,Inter
C,BENNACER,Milan
C,ELMAS,Napoli
C,VIEIRA,Sampdoria
C,OBIANG,Sassuolo
C,VALDIFIORI,SPAL
C,LUKIC,Torino
C,BARAK,Udinese
C,MEDEL,Bologna
C,MOROSINI,Brescia
C,NDOJ,Brescia
C,BIRSA,Cagliari
C,SAPONARA,Genoa
C,CASSATA,Genoa
C,JAGIELLO,Genoa
C,ROVELLA,Genoa
C,BERISHA V,Lazio
C,JONY,Lazio
C,BIGLIA,Milan
C,THORSBY,Sampdoria
C,ZMRHAL,Brescia
C,WALACE,Udinese
C,LERIS,Sampdoria
C,BERTOLACCI,Sampdoria
C,COLLEY E,Atalanta
C,SCHOUTEN,Bologna
C,DESSENA,Brescia
C,TREMOLADA,Brescia
C,VIVIANI M,Brescia
C,DEIOLA,Cagliari
C,CRISTOFORO,Fiorentina
C,DABO,Fiorentina
C,EYSSERIC,Fiorentina
C,MONTIEL,Fiorentina
C,ZURKOWSKI,Fiorentina
C,SANDRO,Genoa
C,ZENNARO,Genoa
C,AGOUME,Inter
